1594709261.179422,1594670036.113195,in,1,"2020-07-14 13:07:41",1,1
1594709267.466561,1594486651.286335,out1,1,"2020-07-14 13:07:47",-1,-1
1594709268.598480,1594486652.339886,out1,1,"2020-07-14 13:07:48",-1,-1
1594709272.688013,1594709272.385000,sys,1,"2020-07-14 13:07:52",-1,-1
1594709272.939420,1594709272.729000,sys,1,"2020-07-14 13:07:52",-1,-1
1594709274.556119,1594486658.346775,out1,1,"2020-07-14 13:07:54",-1,-1
1594709280.499747,1594486664.175736,out1,1,"2020-07-14 13:07:00",-1,-1
1594709281.720361,1594486665.259301,out1,1,"2020-07-14 13:07:01",-1,-1
1594709284.186661,1594670059.002613,in,1,"2020-07-14 13:07:04",1,1
1594709286.815697,1594670061.424843,in,1,"2020-07-14 13:07:06",1,1
1594709291.027243,1594670065.733938,in,1,"2020-07-14 13:07:11",1,1
1594709291.344944,1594709291.343000,sys,1,"2020-07-14 13:07:11",-1,-1
1594709292.013983,1594709291.710000,sys,1,"2020-07-14 13:07:12",-1,-1
1594709294.259715,1594670068.941605,in,1,"2020-07-14 13:07:14",1,1
1594709294.479922,1594670069.439222,in,3,"2020-07-14 13:07:14",1,1
1594709294.752769,1594709294.751000,sys,1,"2020-07-14 13:07:14",-1,-1
1594709300.796137,1594670075.600806,in,1,"2020-07-14 13:07:20",1,1
1594709301.556233,1594670076.888508,in,1,"2020-07-14 13:07:21",0,1
1594709303.705856,1594670078.413838,in,1,"2020-07-14 13:07:23",1,1
1594709306.529800,1594670081.033401,in,1,"2020-07-14 13:07:26",1,1
1594709308.160276,1594670083.491983,in,1,"2020-07-14 13:07:28",0,1
1594709309.583930,1594670084.324833,in,1,"2020-07-14 13:07:29",0,1
1594709310.149285,1594670085.482927,in,1,"2020-07-14 13:07:30",0,1
1594709312.709835,1594670087.024909,in,1,"2020-07-14 13:07:32",0,1
1594709313.384740,1594670088.717335,in,1,"2020-07-14 13:07:33",0,1
1594709315.570893,1594709315.267000,sys,1,"2020-07-14 13:07:35",-1,-1
1594709315.855735,1594670090.513127,in,1,"2020-07-14 13:07:35",1,1
1594709317.116821,1594670092.442871,in,1,"2020-07-14 13:07:37",0,1
1594709318.094166,1594670093.029332,in,1,"2020-07-14 13:07:38",0,1
1594709320.383395,1594709320.381000,sys,1,"2020-07-14 13:07:40",-1,-1
1594709326.711949,1594709326.710000,sys,1,"2020-07-14 13:07:46",-1,-1
1594709328.912936,1594486712.650183,out1,1,"2020-07-14 13:07:48",-1,-1
1594709332.486255,1594486716.291351,out1,1,"2020-07-14 13:07:52",0,-1
1594709335.205964,1594670109.861872,in,3,"2020-07-14 13:07:55",1,1
1594709335.370690,1594709335.068000,sys,1,"2020-07-14 13:07:55",-1,-1
1594709337.719320,1594709337.717000,sys,1,"2020-07-14 13:07:57",-1,-1
1594709338.598174,1594709338.294000,sys,1,"2020-07-14 13:07:58",-1,-1
1594709343.271443,1594709342.968000,sys,1,"2020-07-14 13:07:03",-1,-1
1594709343.978117,1594709343.976000,sys,1,"2020-07-14 13:07:03",-1,-1
1594709345.138659,1594709345.137000,sys,1,"2020-07-14 13:07:05",-1,-1
1594709347.993266,1594486731.821800,out1,1,"2020-07-14 13:07:07",-1,-1
1594709349.755913,1594709349.452000,sys,1,"2020-07-14 13:07:09",-1,-1
1594709350.005705,1594709349.914000,sys,1,"2020-07-14 13:07:10",-1,-1
1594709350.478314,1594709350.326000,sys,1,"2020-07-14 13:07:10",-1,-1
1594709350.688896,1594709350.687000,sys,1,"2020-07-14 13:07:10",-1,-1
1594709352.181006,1594670127.201020,in,3,"2020-07-14 13:07:12",1,1
1594709356.073594,1594486739.079904,out1,1,"2020-07-14 13:07:16",-1,-1
1594709360.206309,1594670135.446838,in,1,"2020-07-14 13:07:20",0,1
1594709362.048841,1594486745.423587,out1,1,"2020-07-14 13:07:22",-1,-1
1594709364.590824,1594709364.287000,sys,1,"2020-07-14 13:07:24",-1,-1
1594709364.770653,1594670139.552889,in,1,"2020-07-14 13:07:24",1,1
1594709365.489868,1594486748.808736,out1,1,"2020-07-14 13:07:25",-1,-1
1594709366.217986,1594486750.405962,out1,1,"2020-07-14 13:07:26",0,-1
1594709368.752824,1594486752.541503,out1,1,"2020-07-14 13:07:28",-1,-1
1594709370.171933,1594486753.659018,out1,1,"2020-07-14 13:07:30",-1,-1
1594709375.569345,1594486759.316057,out1,1,"2020-07-14 13:07:35",-1,-1
1594709379.729945,1594486763.276916,out1,1,"2020-07-14 13:07:39",-1,-1
1594709381.033117,1594486764.613150,out1,1,"2020-07-14 13:07:41",-1,-1
1594709382.303466,1594486766.176115,out1,1,"2020-07-14 13:07:42",0,-1
1594709386.060954,1594670160.982085,in,3,"2020-07-14 13:07:46",1,1
1594709389.239568,1594709388.936000,sys,1,"2020-07-14 13:07:49",1,1
